direction,code,description
09.04.03,ОПК-1,"способностью руководить коллективом в сфере своей профессиональной деятельности, толерантно воспринимая социальные, этнические, конфессиональные и культурные различия"
09.04.03,ОПК-2,способностью исследовать современные проблемы и методы прикладной информатики и научно-технического развития ИКТ
09.04.03,ОПК-3,способностью исследовать закономерности становления и развития информационного общества в конкретной прикладной области
09.04.03,ОПК-4,способностью на практике применять новые научные принципы и методы исследований
09.04.03,ОПК-5,способностью к профессиональной эксплуатации современного электронного оборудования в соответствии с целями основной образовательной программы магистратуры
09.04.03,ПК-1,"способностью формализовывать задачи прикладной области, при решении которых возникает необходимость использования количественных и качественных оценок"
09.04.03,ПК-2,способностью ставить и решать прикладные задачи в условиях неопределенности и определять методы и средства их эффективного решения
09.04.03,ПК-3,"способностью проводить научные эксперименты, оценивать результаты исследований"
09.04.03,ПК-4,способностью исследовать применение различных научных подходов к автоматизации информационных процессов и информатизации предприятий и организаций
09.04.03,ПК-5,"способностью проводить анализ экономической эффективности ИС, оценивать проектные затраты и риски"
09.04.03,ПК-6,способностью выбирать методологию и технологию проектирования ИС с учетом проектных рисков
09.04.03,ПК-7,способностью анализировать данные и оценивать требуемые знания для решения нестандартных задач с использованием математических методов и методов компьютерного моделирования
09.04.03,ПК-8,способностью анализировать и оптимизировать прикладные и информационные процессы
09.04.03,ПК-9,способностью проводить маркетинговый анализ ИКТ и вычислительного оборудования для рационального выбора инструментария автоматизации и информатизации прикладных задач
09.04.03,ПК-10,способностью применять современные методы и инструментальные средства прикладной информатики для автоматизации и информатизации решения прикладных задач различных классов и создания ИС
09.04.03,ПК-11,способностью проектировать архитектуру и сервисы ИС предприятий и организаций в прикладной области
09.04.03,ПК-12,"способностью проектировать информационные процессы и системы с использованием инновационных инструментальных средств, адаптировать современные ИКТ к задачам прикладных ИС"
09.04.03,ПК-13,способностью принимать эффективные проектные решения в условиях неопределенности и риска
09.04.03,ПК-14,способностью формировать стратегию информатизации прикладных процессов и создания прикладных ИС в соответствии со стратегией развития предприятий
09.04.03,ПК-15,способностью организовывать работы по моделированию прикладных ИС и реинжинирингу прикладных и информационных процессов предприятия и организации
