filename,standard_name,standard_code,otf,tf,td
file_127776.pdf,Системный программист,06.028,«Разработка компонентов системных программных,Трудовая функция,"Уровень; Наименование Разработка драйверов устройств Код A/01.6 6; квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Регистрационный номер; оригинал профессионального; а стандарта; Трудовые действия Получение технической документации устройства, для которого; разрабатывается драйвер; Изучение технической документации устройства, для которого; разрабатывается драйвер; Разработка блок-схемы драйвера устройства; Написание исходного кода драйвера устройства; Отладка разработанного драйвера устройства; Разработка эксплуатационной документации на разработанный драйвер; Сопровождение разработанного драйвера устройства; Реинжиниринг разработанного драйвера устройства; на разработку драйвера, для написания программного кода; Создавать блок-схемы алгоритмов функционирования разрабатываемых; программных продуктов; Оценивать вычислительную сложность алгоритмов функционирования; разрабатываемых программных продуктов; Работать со стандартными контроллерами устройств (графическим; адаптером, клавиатурой, мышью, сетевым адаптером); Работать с документацией, прилагаемой разработчиком устройства; Осуществлять отладку драйверов устройств для операционной системы; Синтаксис, особенности программирования и стандартные библиотеки; выбранного языка программирования; Стандарты реализации интерфейсов подключаемых устройств; Технологии разработки драйверов; Системы прерываний и адресации памяти операционной системы; Технологии разработки и отладки системных продуктов; Комплекты средств разработки целевой операционной системы; Система команд микропроцессора целевой аппаратной платформы; Принципы кросс-платформенного программирования; Конструкции распределенного и параллельного программирования; Принципы организации, состав и схемы работы операционных систем; Принципы управления ресурсами; Методы организации файловых систем; Принципы построения сетевого взаимодействия; Архитектура и принципы функционирования коммуникационного; оборудования; Стандарты информационного взаимодействия систем; Методики тестирования разрабатываемого программного обеспечения; Локальные нормативные правовые акты, действующие в организации; Английский язык на уровне чтения технической документации в области; информационных и компьютерных технологий; Государственные стандарты Единой системы программной документации; (ЕСПД); Особые условия допуска к -; работе; Другие характеристики -; 3.1.2."
file_127776.pdf,Системный программист,06.028,«Разработка компонентов системных программных,Трудовая функция,"Разработка компиляторов, загрузчиков, Уровень; Наименование Код A/02.6 6; сборщиков квалификации; Происхождение обобщенной Оригинал X Заимствовано из 566; трудовой функции оригинала; Код Регистрационный номер; оригинал профессионального; а стандарта; Трудовые действия Получение технической документации по языку программирования,; системе команд процессора устройства, адресации памяти и регистров; процессора устройства; Изучение технической документации по языку программирования, системе; команд процессора устройства, адресации памяти и регистров процессора; устройства; Разработка блок-схемы компиляторов, загрузчиков, сборщиков; Написание исходного кода компиляторов, загрузчиков, сборщиков; Отладка компиляторов, загрузчиков, сборщиков; Разработка эксплуатационной документации для разработанных; компиляторов, загрузчиков, сборщиков; Сопровождение разработанных компиляторов, загрузчиков, сборщиков; Реинжиниринг разработанных компиляторов, загрузчиков, сборщиков; техническом задании на разработку, для написания программного кода; Применять технологию разработки компиляторов; Создавать блок-схемы алгоритмов функционирования разрабатываемых; программных продуктов; Оценивать вычислительную сложность алгоритма функционирования; разрабатываемых программных продуктов; Осуществлять отладку программных продуктов для целевой операционной; системы; программное обеспечение; Синтаксис, особенности программирования и стандартные библиотеки; выбранного языка программирования; Системы команд процессора целевой аппаратуры; Способы адресации памяти целевой аппаратной платформы; Технологии разработки компиляторов; Конструкции распределенного и параллельного программирования; Методы и основные этапы трансляции; Принципы организации, состав и схемы работы операционных систем; Принципы управления ресурсами; Стандарты информационного взаимодействия систем; Методики тестирования разрабатываемого программного обеспечения; Локальные нормативные правовые акты, действующие в организации; Английский язык на уровне чтения технической документации в области; информационных и компьютерных технологий; Государственные стандарты ЕСПД; Особые условия допуска к -; работе; Другие характеристики -; 3.1.3."
file_127776.pdf,Системный программист,06.028,«Разработка компонентов системных программных,Трудовая функция,"Уровень; Наименование Разработка системных утилит Код A/03.6 6; квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Регистрационный номер; оригинал профессионального; а стандарта; Трудовые действия Получение технической документации по целевой операционной системе; Изучение технической документации по целевой операционной системе; Получение технической документации по целевому аппаратному средству; Изучение технической документации по целевому аппаратному средству; Разработка блок-схемы утилиты; Написание исходного кода утилиты; Отладка разработанной утилиты; Разработка эксплуатационной документации; Сопровождение разработанной утилиты; Реинжиниринг кода утилиты; на разработку системных утилит, для написания программного кода; Создавать блок-схемы алгоритмов функционирования разрабатываемых; программных продуктов; Оценивать вычислительную сложность алгоритма функционирования; разрабатываемых программных продуктов; Осуществлять отладку утилит операционной системы; Система команд микропроцессора на целевой аппаратной платформе; Синтаксис, особенности программирования и стандартные библиотеки; выбранного языка программирования; Технологии программирования и разработки блок-схем; Основы применения теории алгоритмов; Конструкции распределенного и параллельного программирования; Принципы организации, состав и схемы работы операционных систем; Принципы управления ресурсами; Принципы построения сетевого взаимодействия; Основы архитектуры, устройства и функционирования вычислительных; систем; Архитектура и принципы функционирования коммуникационного; оборудования; Стандарты информационного взаимодействия систем; Локальные нормативные правовые акты, действующие в организации; Английский язык на уровне чтения технической документации в области; информационных и компьютерных технологий; Государственные стандарты ЕСПД; Особые условия допуска к -; работе; Другие характеристики -; 3.1.4."
file_127776.pdf,Системный программист,06.028,«Разработка компонентов системных программных,Трудовая функция,"Создание инструментальных средств Уровень; Наименование Код A/04.6 6; программирования квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Регистрационный номер; оригинал профессионального; а стандарта; Трудовые действия Определение перечня необходимой для создания инструментальных; средств программирования технической документации; Освоение необходимой для создания инструментальных средств; программирования технической документации; Разработка исходного кода и создание бинарных файлов программного; обеспечения создаваемых инструментальных средств программирования; Тестирование программного обеспечения создаваемых инструментальных; средств программирования; Разработка эксплуатационной документации создаваемых; инструментальных средств программирования; Сопровождение программного обеспечения инструментальных средств; программирования; уровня; Осуществлять отладку программ, написанных на языке программирования; низкого уровня; Разрабатывать программный код на языках программирования высокого; уровня; Осуществлять отладку программ, написанных на языке программирования; высокого уровня; Оформлять техническую документацию; Архитектура сред программирования; Классификация языков программирования; Синтаксис, особенности программирования и стандартные библиотеки; выбранного языка программирования; Основные структуры данных; Основные модели данных и их организация; Принципы объектно-ориентированного программирования; Языки функционального и логического программирования; Конкурентное программирование; Методы и алгоритмы грамматического разбора текста программы; Компиляторы языков программирования, их виды, принципы работы; Методы и алгоритмы генерации исполняемого кода; Система команд микропроцессора целевой аппаратной платформы; Структура объектных и исполняемых файлов в целевой операционной; системе; Компоновщики, методы сборки исполняемых файлов из объектных файлов; Методы и алгоритмы оптимизации исполняемого кода; Интерпретаторы языков программирования, их виды, принципы работы; Методы управления памятью; Принципы работы программного отладчика; Основы делопроизводства; Локальные нормативные правовые акты, действующие в организации; Английский язык на уровне чтения технической документации в области; информационных и компьютерных технологий; Государственные стандарты ЕСПД; Особые условия допуска к -; работе; Другие характеристики -"
file_127776.pdf,Системный программист,06.028,«Разработка систем управления базами данных»,Трудовая функция,"Разработка компонентов системы Уровень; Наименование Код B/01.7 7; управления базами данных квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Регистрационный номер; оригинал профессионального; а стандарта; Трудовые действия Получение технической документации на разработку системы управления; базами данных; Изучение технической документации на разработку системы управления; базами данных; Разработка структуры системы управления базами данных в целом и ее; отдельных компонентов; Создание блок-схемы системы управления базами данных; Разработка системы многозадачного и многопользовательского режимов; Разработка системы администрирования данных; Разработка системы поддержки транзакционных механизмов; Разработка системы масштабируемости системы управления базами; данных; Разработка системы контроля целостности данных; Разработка системы безопасности системы управления базами данных; Разработка системы резервного копирования; Написание исходного кода системы управления базами данных на языке; программирования системы управления базами данных; Передача исходного кода системы управления базами данных на; тестирование; данных в зависимости от выполняемых ею задач, определенных в; техническом задании на разработку системы управления базами данных; Идентифицировать класс разрабатываемой системы управления базами; данных в зависимости от аппаратных средств, определенных в техническом; задании на разработку системы управления базами данных; Создавать блок-схемы алгоритмов функционирования разрабатываемых; компонентов системы управления базами данных; Оценивать вычислительную сложность алгоритмов функционирования; разрабатываемых компонентов системы управления базами данных; Применять языки программирования, определенные в техническом задании; на разработку системы управления базами данных, для написания; программного кода; Осуществлять подготовку и сохранение резервных копий данных; Применять нормативно-техническую документацию при использовании; систем управления базами данных; Основные структуры данных; Основные модели данных и их организация; Принципы построения языков запросов и манипулирования данными; Методы обработки данных; Основы современных систем управления базами данных; Методы поддержки, контроля и оптимизации баз данных; Системы хранения и анализа баз данных; Методы повышения надежности работы системы управления базами; данных; Методы построения баз знаний и принципы построения экспертных систем; Синтаксис, особенности программирования и стандартные библиотеки; выбранного языка программирования; Конструкции распределенного и параллельного программирования; Способы и механизмы управления данными; Принципы организации, состав и схемы работы операционных систем; Принципы управления ресурсами; Методы организации файловых систем; Принципы построения сетевого взаимодействия; Основы архитектуры, устройства и функционирования вычислительных; систем; Архитектура и принципы функционирования коммуникационного; оборудования; Устройство и принципы функционирования информационных систем; Стандарты информационного взаимодействия систем; Рынок современных систем управления базами данных и баз данных; Принципы организации инфокоммуникационных систем; Основы информационной безопасности; Подходы к автоматизации и стандарты автоматизации организации; Локальные нормативные правовые акты, действующие в организации; Английский язык на уровне чтения технической документации в области; информационных и компьютерных технологий; Особые условия допуска к -; работе; Другие характеристики -; 3.2.2."
file_127776.pdf,Системный программист,06.028,«Разработка систем управления базами данных»,Трудовая функция,"Отладка разрабатываемой системы Уровень; Наименование Код B/02.7 7; управления базами данных квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Регистрационный номер; оригинал профессионального; а стандарта; Трудовые действия Приемка исходного кода системы управления базами данных после; тестирования; Анализ результатов тестирования разрабатываемой системы управления; базами данных; Отладка исходного кода системы управления базами данных в целом и; кодов ее компонентов на языке программирования разрабатываемой; системы управления базами данных; Отладка системы многозадачного и многопользовательского режимов; Отладка системы поддержки транзакционных механизмов; Коррекция системы администрирования данных по результатам; тестирования; Отладка системы масштабируемости разрабатываемой системы управления; базами данных в целом и ее компонентов; Отладка системы контроля целостности данных; Отладка системы безопасности разрабатываемой системы управления; базами данных в целом и ее компонентов; Настройка системы резервного копирования; Уточнение блок-схемы функционирования разрабатываемой системы; управления базами данных в целом и ее компонентов после тестирования; на разработку системы управления базами данных, для написания; программного кода; Выявлять ошибки в программном коде; Применять методы и приемы отладки программного кода; Проверять соответствие выполненных работ требованиям проектной; документации на разрабатываемую систему управления базами данных; Применять нормативно-техническую документацию при использовании; систем управления базами данных; Осуществлять подготовку и сохранение резервных копий данных; Современные методики тестирования разрабатываемого программного; обеспечения; Методы поддержки, контроля и оптимизации баз данных; Методы обработки данных; Методы повышения надежности работы системы управления базами; данных; Основные модели данных и их организация; Системы хранения и анализа баз данных; Принципы построения языков запросов и манипулирования данными; Основы современных систем управления базами данных; Методы построения баз знаний и принципы построения экспертных систем; Системное программное обеспечение и программное обеспечение баз; данных; Основы применения теории алгоритмов; Синтаксис, особенности программирования и стандартные библиотеки; выбранного языка программирования; Конструкции распределенного и параллельного программирования; Способы и механизмы управления данными; Принципы организации, состав и схемы работы операционных систем; Принципы управления ресурсами; Методы организации файловых систем; Принципы построения сетевого взаимодействия; Основы архитектуры, устройства и функционирования вычислительных; систем; Устройство и принципы функционирования информационных систем; Языки бизнес-приложений; Стандарты информационного взаимодействия систем; Локальные нормативные правовые акты, действующие в организации; Английский язык на уровне чтения технической документации в области; информационных и компьютерных технологий; Особые условия допуска к -; работе; Другие характеристики -; 3.2.3."
file_127776.pdf,Системный программист,06.028,«Разработка систем управления базами данных»,Трудовая функция,"Документирование разработанной; Уровень; Наименование системы управления базами данных в Код B/03.7 7; квалификации; целом и ее компонентов; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Регистрационный номер; оригинал профессионального; а стандарта; Трудовые действия Протоколирование структуры разработанной системы управления базами; данных в целом и ее компонентов; Протоколирование системы безопасности разработанной системы; управления базами данных в целом и ее компонентов; Протоколирование системы резервного копирования; Протоколирование системы администрирования данных; Протоколирование исходного кода разработанной системы управления; базами данных в целом и ее компонентов; Подготовка отчетов о функционировании систем управления базами; данных; Подготовка эксплуатационной документации по работе с системой; управления базами данных; Подготовка технологической документации по работе с системой; управления базами данных; Разработка методических инструкций по работе с системой управления; базами данных; Вести технологическую документацию; Применять нормативно-техническую документацию при использовании; систем управления базами данных; ее компонентов; Программные продукты, используемые для документирования системы; управления базами данных в целом и ее компонентов; Специальная терминология в области систем управления базами данных; Основные структуры данных; Основные модели данных и их организация; Принципы построения языков запросов и манипулирования данными; Основы современных систем управления базами данных; Методы построения баз знаний и принципы построения экспертных систем; Принципы организации, состав и схемы работы операционных систем; Принципы построения сетевого взаимодействия; Основы архитектуры, устройства и функционирования вычислительных; систем; Устройство и принципы функционирования информационных систем; Стандарты информационного взаимодействия систем; Принципы организации инфокоммуникационных систем; Основы информационной безопасности; Подходы к автоматизации и стандарты автоматизации организации; Основы делопроизводства; Локальные нормативные правовые акты, действующие в организации; Английский язык на уровне чтения технической документации в области; информационных и компьютерных технологий; Государственные стандарты ЕСПД; Особые условия допуска к -; работе; Другие характеристики -; 3.2.4."
file_127776.pdf,Системный программист,06.028,«Разработка систем управления базами данных»,Трудовая функция,"Сопровождение созданной системы Уровень; Наименование Код B/04.7 7; управления базами данных квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Регистрационный номер; оригинал профессионального; а стандарта; Трудовые действия Анализ ошибок в компонентах системы управления базами данных по; данным эксплуатации; Устранение ошибок в компонентах системы управления базами данных по; данным эксплуатации; Оформление результатов работ по модификации системы управления; базами данных в целом и ее компонентов; Сопровождение документации по системе управления базами данных в; целом и ее компонентам; Консультирование по использованию системы управления базами данных в; целом и ее компонентов, ее установке, параметризации, по диагностике; сбоев операционной системы; на разработку системы управления базами данных, для написания; программного кода; Обнаруживать ошибки в работе системы управления базами данных; Работать в используемой системе регистрации ошибок; Готовить документацию по разработанной системе управления базами; данных в соответствии с действующими федеральными, отраслевыми и; локальными нормативными правовыми актами; Осуществлять консультации пользователей по созданной системе; управления базами данных; управления базами данных, особенности программирования на этом языке,; стандартные библиотеки языка программирования; Методы поиска ошибок в операционных системах; Методы документирования работы созданной системы управления базами; данных в целом и ее компонентов; Программные продукты, используемые для документирования работы; созданной системы управления базами данных в целом и ее компонентов; Порядок управления версиями разрабатываемой базы данных; Механизмы мониторинга системы управления базами данных; Основы систем управления базами данных; Способы и механизмы управления данными; Основные модели данных и их организация; Специальная терминология в области систем управления базами данных; Теория баз данных; Системы хранения и анализа баз данных; Принципы построения языков запросов и манипулирования данными; Методы построения баз знаний и принципы построения экспертных систем; Принципы организации, состав и схемы работы операционных систем; Принципы построения сетевого взаимодействия; Основные методы разработки программного обеспечения; Основы архитектуры, устройства и функционирования вычислительных; систем; Устройство и принципы функционирования информационных систем; Программные средства и платформы инфраструктуры информационных; технологий организаций; Аппаратные средства и платформы инфраструктуры информационных; технологий организаций; Принципы организации инфокоммуникационных систем; Основы информационной безопасности; Подходы к автоматизации и стандарты автоматизации организации; Локальные нормативные правовые акты, действующие в организации; Английский язык на уровне чтения технической документации в области; информационных и компьютерных технологий; Государственные стандарты ЕСПД; Особые условия допуска к -; работе; Другие характеристики -"
file_127776.pdf,Системный программист,06.028,«Разработка операционных систем»,Трудовая функция,"Формирование требований к Уровень; Наименование Код C/01.7 7; операционной системе квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Регистрационный номер; оригинал профессионального; а стандарта; Трудовые действия Взаимодействие с заказчиком и заинтересованными лицами с целью; формирования требований к разрабатываемой операционной системе; Составление спецификаций требований к разрабатываемой операционной; системе; Согласование спецификаций требований к разрабатываемой операционной; системе со всеми заинтересованными лицами; Ведение базы данных требований к разрабатываемой операционной; системе; зависимости от выполняемых ею задач, определенных в техническом; задании на разработку операционной системы; Идентифицировать класс разрабатываемой операционной системы в; зависимости от аппаратных средств, определенных в техническом задании; на разработку операционной системы; Переформулировать ожидания от программных средств в требования к ним; Выявлять требования к программным средствам на основе опроса; заинтересованных лиц; Выявлять требования к программным средствам на основе спецификаций; оборудования; Анализировать требования, проверять их полноту и осуществимость; Писать текст спецификации требований к программным средствам; Работать в используемой системе управления требованиями; Основные характеристики требований к операционным системам; Методы выявления и анализа требований к операционным системам; Способы изложения требований в спецификации на программные средства; Стандарты по работе с требованиями к программным средствам; Дисциплина управления требованиями; Теория операционных систем и теории языков программирования; Сетевые технологии и протоколы; Специальная терминология в области операционных систем; Основы применения теории алгоритмов; Принципы организации, состав и схемы работы операционных систем; Принципы построения сетевого взаимодействия; Основные методы разработки программного обеспечения; Основы архитектуры, устройства и функционирования вычислительных; систем; Архитектура и принципы функционирования коммуникационного; оборудования; Устройство и принципы функционирования информационных систем; Стандарты информационного взаимодействия систем; Программные средства и платформы инфраструктуры информационных; технологий организаций; Аппаратные средства и платформы инфраструктуры информационных; технологий организаций; Основы информационной безопасности; Теория системного анализа; Правила ведения деловой переписки; Правила ведения деловых переговоров; Основы делового этикета; Английский язык на уровне чтения технической документации и; разговорный технический в области информационных и компьютерных; технологий; Локальные нормативные правовые акты, действующие в организации; Государственные стандарты ЕСПД; Особые условия допуска к -; работе; Другие характеристики -; 3.3.2."
