role,town,id,profession,firm_name,payment_from,payment_to,currency,experience,education,date_published,link,skills
программист,Москва,51826667,Инженер-программист,Википедия,0,0,rub,Без опыта,Не имеет значения,1783152605,https://www.superjob.ru/vakansii/inzhener-programmist-51826667.html,Go
программист,Москва,51826679,Стажёр-разработчик программного обеспечения,Amazon,0,0,rub,Без опыта,Не имеет значения,1783153204,https://www.superjob.ru/vakansii/stazhjor-razrabotchik-programmnogo-obespecheniya-51826679.html,"Python, Java, C++"
программист,Москва,51852881,Инженер-программист,Википедия,0,0,rub,Без опыта,Не имеет значения,1783159503,https://www.superjob.ru/vakansii/inzhener-programmist-51852881.html,Go
программист,Москва,51886527,Стажер разработчик,РБК,0,0,rub,Без опыта,Не имеет значения,1783178145,https://www.superjob.ru/vakansii/stazher-razrabotchik-51886527.html,
программист,Москва,51863706,"Стажер-программист, специализирующийся на потоковых алгоритмах",Netflix,0,0,rub,От 1 года,Не имеет значения,1783164053,https://www.superjob.ru/vakansii/stazher-programmist-51863706.html,Go
программист,Москва,51921335,Ведущий java-разработчик,Мах (Team VK company),0,0,rub,От 1 года,Не имеет значения,1783155341,https://www.superjob.ru/vakansii/veduschij-java-razrabotchik-51921335.html,"Java, SQL, PostgreSQL"
программист,Москва,52008995,Инженер-программист C++,Figma,0,0,rub,От 3 лет,Не имеет значения,1783163190,https://www.superjob.ru/vakansii/inzhener-programmist-c-52008995.html,"Python, Java, JavaScript, TypeScript, C++, Go, React"
программист,Москва,51933255,Программист в отдел web-проектов,Коммерсантъ,0,0,rub,От 1 года,Не имеет значения,1783175799,https://www.superjob.ru/vakansii/programmist-v-otdel-web-proektov-51933255.html,"Java, JavaScript, TypeScript, C#, SQL, Azure"
программист,Москва,51994474,Стажёр C#-разработчик,OZON: Старт карьеры,0,0,rub,Без опыта,Не имеет значения,1783174805,https://www.superjob.ru/vakansii/stazhjor-c-51994474.html,"C#, SQL, PostgreSQL"
программист,Москва,52018052,Backend-разработчик стажер,VK: Старт карьеры,0,0,rub,Без опыта,Не имеет значения,1782897164,https://www.superjob.ru/vakansii/backend-razrabotchik-stazher-52018052.html,"Go, PHP"
программист,Москва,52023629,Java-разработчик в команду DataTransfer стажер,VK: Старт карьеры,0,0,rub,Без опыта,Не имеет значения,1782989629,https://www.superjob.ru/vakansii/java-razrabotchik-v-komandu-datatransfer-stazher-52023629.html,"Java, C++, Go, Docker, Kafka"
программист,Москва,50645365,Инженер-программист 1 категории (управления 453),РЕШЕТНЁВ,250000,0,rub,От 3 лет,Не имеет значения,1783151728,https://www.superjob.ru/vakansii/inzhener-programmist-1-kategorii-50645365.html,
программист,Москва,51690690,Военнослужащий по контракту (Спецконтракт/оператор БПЛА/программист/робототехник/Барс),СТОПФАЕР,254000,0,rub,Без опыта,Не имеет значения,1783149776,https://www.superjob.ru/vakansii/voennosluzhaschij-po-kontraktu-51690690.html,
программист,Москва,45734992,Инженер-технолог (программист),Импульс,133700,133700,rub,От 3 лет,Не имеет значения,1783146303,https://www.superjob.ru/vakansii/inzhener-tehnolog-45734992.html,
программист,Москва,51937134,Программист MS SQL/Delphi (Middle),Холдинг Major,150000,0,rub,От 3 лет,Не имеет значения,1783002009,https://www.superjob.ru/vakansii/programmist-ms-sql-51937134.html,SQL
программист,Москва,51145264,Разработчик 1С (Усть-Луга),Международный EPC-проект Генеральный подрядчик,110000,120000,rub,От 1 года,Среднее специальное,1783150535,https://www.superjob.ru/vakansii/razrabotchik-1s-51145264.html,"Python, Java, JavaScript, C++, Swift, 1С, SQL"
