source,direction,category,code,description,count,normalized_code,category_group
ФГОС,09.04.03,ОПК-1: руководить коллективом в сфере своей профессиональ,ОПК-1,"способностью руководить коллективом в сфере своей профессиональной деятельности, толерантно воспринимая социальные, этнические, конфессиональные и культурные различия",1.0,ОПК-1,Управление и коммуникации
ФГОС,09.04.03,ОПК-2: исследовать современные проблемы и методы прикладн,ОПК-2,способностью исследовать современные проблемы и методы прикладной информатики и научно-технического развития ИКТ,1.0,ОПК-2,Научные исследования и методология
ФГОС,09.04.03,ОПК-3: исследовать закономерности становления и развития,ОПК-3,способностью исследовать закономерности становления и развития информационного общества в конкретной прикладной области,1.0,ОПК-3,Научные исследования и методология
ФГОС,09.04.03,ОПК-4: на практике применять новые научные принципы и мет,ОПК-4,способностью на практике применять новые научные принципы и методы исследований,1.0,ОПК-4,Научные исследования и методология
ФГОС,09.04.03,ОПК-5: к профессиональной эксплуатации современного элект,ОПК-5,способностью к профессиональной эксплуатации современного электронного оборудования в соответствии с целями основной образовательной программы магистратуры,1.0,ОПК-5,Основы информатики
ФГОС,09.04.03,"ПК-1: формализовывать задачи прикладной области, при реш",ПК-1,"способностью формализовывать задачи прикладной области, при решении которых возникает необходимость использования количественных и качественных оценок",1.0,ПК-1,Разработка ПО
ФГОС,09.04.03,ПК-2: ставить и решать прикладные задачи в условиях неоп,ПК-2,способностью ставить и решать прикладные задачи в условиях неопределенности и определять методы и средства их эффективного решения,1.0,ПК-2,Разработка ПО
ФГОС,09.04.03,"ПК-3: проводить научные эксперименты, оценивать результа",ПК-3,"способностью проводить научные эксперименты, оценивать результаты исследований",1.0,ПК-3,Архитектура и интеграция
ФГОС,09.04.03,ПК-4: исследовать применение различных научных подходов,ПК-4,способностью исследовать применение различных научных подходов к автоматизации информационных процессов и информатизации предприятий и организаций,1.0,ПК-4,Управление проектами и процессами
ФГОС,09.04.03,"ПК-5: проводить анализ экономической эффективности ИС, о",ПК-5,"способностью проводить анализ экономической эффективности ИС, оценивать проектные затраты и риски",1.0,ПК-5,Управление проектами и процессами
ФГОС,09.04.03,ПК-6: выбирать методологию и технологию проектирования И,ПК-6,способностью выбирать методологию и технологию проектирования ИС с учетом проектных рисков,1.0,ПК-6,Документация и стандарты
ФГОС,09.04.03,ПК-7: анализировать данные и оценивать требуемые знания,ПК-7,способностью анализировать данные и оценивать требуемые знания для решения нестандартных задач с использованием математических методов и методов компьютерного моделирования,1.0,ПК-7,Данные и базы данных
ФГОС,09.04.03,ПК-8: анализировать и оптимизировать прикладные и информ,ПК-8,способностью анализировать и оптимизировать прикладные и информационные процессы,1.0,ПК-8,Научные исследования и методология
ФГОС,09.04.03,ПК-9: проводить маркетинговый анализ ИКТ и вычислительно,ПК-9,способностью проводить маркетинговый анализ ИКТ и вычислительного оборудования для рационального выбора инструментария автоматизации и информатизации прикладных задач,1.0,ПК-9,Научные исследования и методология
